location_id,area_group,psa_region,province,map_label,lat,lon,coconut_mature_2025_mt,coconut_mature_2025_share_pct,coconut_husk_2025_mt,coconut_husk_2025_share_pct,production_share_basis,coconut_weight,selected_for_monitor,coord_source,source
AURORA,Luzon,REGION III (CENTRAL LUZON),Aurora,Aurora（0.32%）,15.77,121.56,15903.82,0.1129833478186411,46288.800000,0.319088,"Coconut (w/ husk), PSA 2025",0.003190877075,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
BUKIDNON,Mindanao,REGION X (NORTHERN MINDANAO),Bukidnon,Bukidnon（0.31%）,8.05,125.0,44582.14,0.3167188405124903,45307.010000,0.312320,"Coconut (w/ husk), PSA 2025",0.003123198258,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
CAVITE,Luzon,REGION IV-A (CALABARZON),Cavite,Cavite（0.30%）,14.25,120.88,42189.69,0.2997224830028663,43797.800000,0.301916,"Coconut (w/ husk), PSA 2025",0.003019162215,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
CAGAYAN,Luzon,REGION II (CAGAYAN VALLEY),Cagayan,Cagayan（0.29%）,17.6,121.7,20444.75,0.1452428599113397,41349.950000,0.285042,"Coconut (w/ husk), PSA 2025",0.002850421862,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
BASILAN,Mindanao,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Basilan,Basilan（0.26%）,6.43,122.03,36897.02,0.2621224865555167,38048.470000,0.262284,"Coconut (w/ husk), PSA 2025",0.002622837288,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
GUIMARAS,Visayas,REGION VI (WESTERN VISAYAS),Guimaras,Guimaras（0.25%）,10.58,122.6,36549.95,0.2596568443055783,36991.570000,0.254998,"Coconut (w/ husk), PSA 2025",0.002549980831,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
PANGASINAN,Luzon,REGION I (ILOCOS REGION),Pangasinan,Pangasinan（0.25%）,15.9,120.3,7613.73,0.0540891876786346,36043.060000,0.248460,"Coconut (w/ husk), PSA 2025",0.002484596141,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ISABELA,Luzon,REGION II (CAGAYAN VALLEY),Isabela,Isabela（0.20%）,16.8,121.7,3118.82,0.0221566092199065,28424.900000,0.195945,"Coconut (w/ husk), PSA 2025",0.001959445088,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
OCCIDENTAL_MINDORO,Luzon,MIMAROPA REGION,Occidental Mindoro,Occidental Mindoro（0.10%）,13.0,120.85,10434.62,0.0741292532747069,14581.740000,0.100518,"Coconut (w/ husk), PSA 2025",0.001005179220,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SIQUIJOR,Visayas,NEGROS ISLAND REGION,Siquijor,Siquijor（0.06%）,9.2,123.6,8707.04,0.0618562413804244,8884.390000,0.061244,"Coconut (w/ husk), PSA 2025",0.000612437488,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
RIZAL,Luzon,REGION IV-A (CALABARZON),Rizal,Rizal（0.06%）,14.58,121.2,6828.4,0.0485100744503401,8813.990000,0.060758,"Coconut (w/ husk), PSA 2025",0.000607584527,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
